2026-05-12 19:53:59 | 127.0.0.1:53719 | 未登录      | CONNECT | -        | 成功
2026-05-12 19:55:38 | 127.0.0.1:53719 | 100002   | HELO   | -        | 成功
2026-05-12 19:55:52 | 127.0.0.1:53719 | 100002   | PASS   | -        | 失败(口令错误)
2026-05-12 20:02:29 | 127.0.0.1:57611 | 未登录      | CONNECT | -        | 成功
2026-05-12 20:02:43 | 127.0.0.1:57611 | 100002   | HELO   | -        | 成功
2026-05-12 20:02:49 | 127.0.0.1:57611 | 100002   | PASS   | -        | 成功
2026-05-12 20:03:14 | 127.0.0.1:57611 | 100002   | BALA   | -        | 成功
2026-05-12 20:03:30 | 127.0.0.1:57611 | 100002   | WDRA   | 500.00   | 成功
2026-05-12 20:03:44 | 127.0.0.1:57611 | 100002   | BALA   | -        | 成功
2026-05-12 20:03:59 | 127.0.0.1:57611 | 100002   | QUIT   | -        | 成功
2026-05-12 20:07:16 | 127.0.0.1:62110 | 未登录      | CONNECT | -        | 成功
2026-05-12 20:07:24 | 127.0.0.1:62110 | 未登录      | HELO   | -        | 失败(卡号不存在)
2026-05-12 20:08:03 | 127.0.0.1:62149 | 未登录      | CONNECT | -        | 成功
2026-05-12 20:08:36 | 127.0.0.1:62149 | 未登录      | HELO   | -        | 失败(卡号不存在)
2026-05-12 20:08:54 | 127.0.0.1:55829 | 未登录      | CONNECT | -        | 成功
2026-05-12 20:09:15 | 127.0.0.1:55829 | 100002   | HELO   | -        | 成功
2026-05-12 20:09:18 | 127.0.0.1:55829 | 100002   | PASS   | -        | 成功
2026-05-12 20:09:27 | 127.0.0.1:55829 | 100002   | BALA   | -        | 成功
2026-05-12 20:09:40 | 127.0.0.1:55829 | 100002   | WDRA   | 1000.00  | 失败(余额不足)
2026-05-12 20:10:02 | 127.0.0.1:55829 | 100002   | QUIT   | -        | 成功
2026-05-12 20:17:17 | 192.168.0.178:57157 | 未登录      | CONNECT | -        | 成功
2026-05-12 20:17:36 | 192.168.0.178:62387 | 未登录      | CONNECT | -        | 成功
2026-05-12 20:17:55 | 192.168.0.178:51549 | 未登录      | CONNECT | -        | 成功
2026-05-12 20:18:39 | 192.168.0.178:51549 | 100001   | HELO   | -        | 成功
2026-05-12 20:18:46 | 192.168.0.178:51549 | 100001   | PASS   | -        | 成功
2026-05-12 20:18:59 | 192.168.0.178:62387 | 100002   | HELO   | -        | 成功
2026-05-12 20:19:02 | 192.168.0.178:62387 | 100002   | PASS   | -        | 成功
2026-05-12 20:19:15 | 192.168.0.178:57157 | 100003   | HELO   | -        | 成功
2026-05-12 20:19:18 | 192.168.0.178:57157 | 100003   | PASS   | -        | 成功
2026-05-12 20:19:33 | 192.168.0.178:51549 | 100001   | BALA   | -        | 成功
2026-05-12 20:19:47 | 192.168.0.178:51549 | 100001   | WDRA   | 300.00   | 成功
2026-05-12 20:19:54 | 192.168.0.178:51549 | 100001   | QUIT   | -        | 成功
2026-05-12 20:20:05 | 192.168.0.178:62387 | 100002   | BALA   | -        | 成功
2026-05-12 20:20:14 | 192.168.0.178:62387 | 100002   | WDRA   | 500.00   | 成功
2026-05-12 20:20:20 | 192.168.0.178:62387 | 100002   | QUIT   | -        | 成功
2026-05-12 20:20:28 | 192.168.0.178:57157 | 100003   | BALA   | -        | 成功
2026-05-12 20:20:35 | 192.168.0.178:57157 | 100003   | WDRA   | 600.00   | 成功
2026-05-12 20:20:43 | 192.168.0.178:57157 | 100003   | QUIT   | -        | 成功
2026-05-12 20:58:32 | 127.0.0.1:65196 | 未登录      | CONNECT | -        | 成功
2026-05-12 20:58:41 | 127.0.0.1:65196 | 100002   | HELO   | -        | 成功
2026-05-12 20:58:44 | 127.0.0.1:65196 | 100002   | PASS   | -        | 成功
2026-05-12 20:58:51 | 127.0.0.1:65196 | 100002   | BALA   | -        | 成功
2026-05-12 20:59:04 | 127.0.0.1:65196 | 100002   | QUIT   | -        | 成功
